06:06.1,1.42163E+12,AAA, ax,-0.56208116, ay,6.2704606, az,7.7028317
06:06.1,1.42163E+12,AAA, ax,-0.64470935, ay,6.286627, az,7.685917
06:06.2,1.42163E+12,AAA, ax,-0.5990543, ay,6.007607, az,7.687414
06:06.2,1.42163E+12,AAA, ax,-0.5878276, ay,6.093678, az,7.6904078
06:06.2,1.42163E+12,AAA, ax,-0.7430548, ay,6.2544436, az,7.90581
06:06.2,1.42163E+12,AAA, ax,-0.70937485, ay,6.3484483, az,7.8150983
06:06.2,1.42163E+12,AAA, ax,-0.8418494, ay,6.342161, az,7.6562786
06:06.3,1.42163E+12,AAA, ax,-0.74949145, ay,6.3011465, az,7.558382
06:06.3,1.42163E+12,AAA, ax,-0.79769117, ay,6.20819, az,7.400311
06:06.3,1.42163E+12,AAA, ax,-0.8288264, ay,6.4267354, az,7.54521
06:06.3,1.42163E+12,AAA, ax,-0.8963361, ay,6.6078587, az,7.595206
06:06.3,1.42163E+12,AAA, ax,-0.9060658, ay,6.514902, az,7.8626995
06:06.4,1.42163E+12,AAA, ax,-0.89004916, ay,6.2595334, az,8.036339
06:06.4,1.42163E+12,AAA, ax,-0.7424561, ay,6.230194, az,7.9616437
06:06.4,1.42163E+12,AAA, ax,-0.8174501, ay,6.324498, az,8.082742
06:06.4,1.42163E+12,AAA, ax,-0.8044272, ay,6.3095293, az,7.9602966
06:06.4,1.42163E+12,AAA, ax,-0.8440947, ay,6.421796, az,7.696096
06:06.5,1.42163E+12,AAA, ax,-0.8285271, ay,6.9451075, az,5.964946
06:06.5,1.42163E+12,AAA, ax,-0.7658075, ay,6.2071424, az,8.580906
06:06.5,1.42163E+12,AAA, ax,-0.8273296, ay,6.4484406, az,8.565638
06:06.5,1.42163E+12,AAA, ax,-0.8879535, ay,6.8014064, az,7.2905893
06:06.6,1.42163E+12,AAA, ax,-0.6493497, ay,6.372099, az,7.688462
06:06.6,1.42163E+12,AAA, ax,-0.49906218, ay,6.2502527, az,7.903714
06:06.6,1.42163E+12,AAA, ax,-0.60833496, ay,6.210136, az,7.722441
06:06.6,1.42163E+12,AAA, ax,-0.6930588, ay,6.1833415, az,7.731123
06:06.6,1.42163E+12,AAA, ax,-0.70653075, ay,6.065088, az,7.9171863
06:06.6,1.42163E+12,AAA, ax,-0.7746391, ay,6.3345275, az,7.922126
06:06.7,1.42163E+12,AAA, ax,-0.74664736, ay,6.306685, az,7.685468
06:06.7,1.42163E+12,AAA, ax,-0.8017328, ay,6.4523325, az,7.460935
06:06.7,1.42163E+12,AAA, ax,-0.7643106, ay,6.6240253, az,7.7742333
06:06.7,1.42163E+12,AAA, ax,-0.8557704, ay,6.543343, az,7.9064083
06:06.7,1.42163E+12,AAA, ax,-0.7975415, ay,6.412665, az,7.7630067
06:06.8,1.42163E+12,AAA, ax,-0.8063731, ay,6.302045, az,7.6233473
06:06.8,1.42163E+12,AAA, ax,-0.6996451, ay,6.349945, az,7.8763213
06:06.8,1.42163E+12,AAA, ax,-0.6887178, ay,6.297554, az,7.8757224
06:06.8,1.42163E+12,AAA, ax,-0.52376086, ay,6.266269, az,7.681875
06:06.8,1.42163E+12,AAA, ax,-0.6360274, ay,6.194718, az,7.695048
06:06.9,1.42163E+12,AAA, ax,-0.66671354, ay,6.246959, az,7.6910067
06:06.9,1.42163E+12,AAA, ax,-0.7168593, ay,6.280639, az,7.921228
06:06.9,1.42163E+12,AAA, ax,-0.7075786, ay,6.4246397, az,7.784113
06:06.9,1.42163E+12,AAA, ax,-0.8599617, ay,6.4888563, az,7.6401124
06:06.9,1.42163E+12,AAA, ax,-0.7138655, ay,6.5642996, az,7.52575
06:07.0,1.42163E+12,AAA, ax,-0.7864645, ay,6.5689397, az,7.7799215
06:07.0,1.42163E+12,AAA, ax,-0.8060738, ay,6.5003824, az,7.904762
06:07.0,1.42163E+12,AAA, ax,-0.6584807, ay,6.409671, az,7.6871147
06:07.0,1.42163E+12,AAA, ax,-0.6746471, ay,6.3319826, az,7.5814342
06:07.0,1.42163E+12,AAA, ax,-0.71311706, ay,6.302494, az,7.73741
06:07.1,1.42163E+12,AAA, ax,-0.8963361, ay,6.4176044, az,7.793843
06:07.1,1.42163E+12,AAA, ax,-0.77553725, ay,6.374494, az,7.9156895
06:07.1,1.42163E+12,AAA, ax,-0.66132474, ay,6.3849726, az,7.642358
06:07.1,1.42163E+12,AAA, ax,-0.62031007, ay,6.497389, az,7.639364
06:07.1,1.42163E+12,AAA, ax,-0.6930588, ay,6.461613, az,7.6377172
06:07.2,1.42163E+12,AAA, ax,-0.71760774, ay,6.3108764, az,7.619605
06:07.2,1.42163E+12,AAA, ax,-0.7195537, ay,6.2939615, az,7.789202
06:07.2,1.42163E+12,AAA, ax,-0.6475534, ay,6.3845234, az,7.544012
