41:18.0,1.42111E+12,GGG,gx,-0.014922224, gy,-0.028778385, gz,0.006394783
41:18.0,1.42111E+12,GGG,gx,-0.045831937, gy,-0.04476614, gz,0.001065797
41:18.0,1.42111E+12,GGG,gx,-0.067148946, gy,-0.069280535, gz,0.002131594
41:18.0,1.42111E+12,GGG,gx,-0.028778385, gy,-0.043700077, gz,-0.007461112
41:18.0,1.42111E+12,GGG,gx,0.024514131, gy,0.006394783, gz,-0.004263721
41:18.1,1.42111E+12,GGG,gx,0.041567683, gy,0.028777853, gz,0.018119348
41:18.1,1.42111E+12,GGG,gx,0.013855628, gy,-0.004263721, gz,0.018119348
41:18.1,1.42111E+12,GGG,gx,-0.040502686, gy,-0.027712587, gz,0.007460579
41:18.1,1.42111E+12,GGG,gx,-0.039436888, gy,-0.035173167, gz,0.024514131
41:18.1,1.42111E+12,GGG,gx,0.020250943, gy,-0.006395315, gz,0.030909447
41:18.2,1.42111E+12,GGG,gx,0.08633356, gy,0.041567683, gz,0.003197391
41:18.2,1.42111E+12,GGG,gx,0.061818894, gy,0.02557993, gz,-0.006395315
41:18.2,1.42111E+12,GGG,gx,-0.007461112, gy,-0.014922224, gz,0.002131594
41:18.2,1.42111E+12,GGG,gx,-0.013856427, gy,-0.01279063, gz,0.012789832
41:18.2,1.42111E+12,GGG,gx,0.047962997, gy,0.024514131, gz,-0.002132127
41:18.3,1.42111E+12,GGG,gx,0.053291984, gy,0.015987223, gz,-0.009593239
41:18.3,1.42111E+12,GGG,gx,-0.003197924, gy,-0.025580462, gz,0.001065797
41:18.3,1.42111E+12,GGG,gx,0.012789832, gy,-0.02238307, gz,-0.014922224
41:18.3,1.42111E+12,GGG,gx,0.04369928, gy,0.004263188, gz,-0.013856427
41:18.3,1.42111E+12,GGG,gx,0.026645726, gy,0.020250943, gz,0.002131594
41:18.4,1.42111E+12,GGG,gx,-0.007461112, gy,0.004263188, gz,0.005328985
41:18.4,1.42111E+12,GGG,gx,-0.01811988, gy,-0.020251475, gz,-0.004263721
41:18.4,1.42111E+12,GGG,gx,-0.021317273, gy,-0.015988022, gz,-0.011724833
41:18.4,1.42111E+12,GGG,gx,0.001065797, gy,-0.01811988, gz,0.004263188
41:18.4,1.42111E+12,GGG,gx,0.006394783, gy,-0.027712587, gz,0.015987223
41:18.5,1.42111E+12,GGG,gx,0.004263188, gy,-0.023448868, gz,-0.002132127
41:18.5,1.42111E+12,GGG,gx,-0.02238307, gy,-0.023448868, gz,-0.003197924
41:18.5,1.42111E+12,GGG,gx,-0.029844182, gy,-0.013856427, gz,0.010658237
41:18.5,1.42111E+12,GGG,gx,-0.005329518, gy,0.003197391, gz,0.026645726
41:18.5,1.42111E+12,GGG,gx,0.011724034, gy,0.011724034, gz,0.029843649
41:18.6,1.42111E+12,GGG,gx,-0.002132127, gy,-0.00106633, gz,0.00959244
41:18.6,1.42111E+12,GGG,gx,-0.017053818, gy,-0.02238307, gz,-0.00106633
41:18.6,1.42111E+12,GGG,gx,-0.011724833, gy,-0.009593239, gz,0.005328985
41:18.6,1.42111E+12,GGG,gx,-0.005329518, gy,-0.015988022, gz,0.003197391
41:18.6,1.42111E+12,GGG,gx,-0.041568484, gy,-0.043700077, gz,-0.010659036
41:18.7,1.42111E+12,GGG,gx,-0.029844182, gy,-0.026646258, gz,-0.014922224
41:18.7,1.42111E+12,GGG,gx,-0.017053818, gy,-0.003197924, gz,-0.007461112
41:18.7,1.42111E+12,GGG,gx,-0.00106633, gy,0.024514131, gz,0.013855628
41:18.7,1.42111E+12,GGG,gx,-0.007461112, gy,0.029843649, gz,0.03943609
41:18.7,1.42111E+12,GGG,gx,-0.034107372, gy,0.01705302, gz,0.029843649
41:18.8,1.42111E+12,GGG,gx,-0.053292517, gy,-0.008526909, gz,0.020250943
41:18.8,1.42111E+12,GGG,gx,-0.039436888, gy,-0.034107372, gz,0.028777853
41:18.8,1.42111E+12,GGG,gx,0.005328985, gy,0.003197391, gz,0.014921425
41:18.8,1.42111E+12,GGG,gx,0.035172634, gy,0.023448335, gz,0.005328985
41:18.8,1.42111E+12,GGG,gx,0.03304104, gy,0.013855628, gz,-0.014922224
41:18.9,1.42111E+12,GGG,gx,0.012789832, gy,0.003197391, gz,-0.019185679
41:18.9,1.42111E+12,GGG,gx,0.003197391, gy,0.004263188, gz,-0.01279063
41:18.9,1.42111E+12,GGG,gx,-0.021317273, gy,-0.028778385, gz,0.031975243
41:18.9,1.42111E+12,GGG,gx,-0.04796353, gy,-0.03090998, gz,0.045831405
41:18.9,1.42111E+12,GGG,gx,-0.027712587, gy,0.013855628, gz,0.012789832
41:19.0,1.42111E+12,GGG,gx,0.024514131, gy,0.020250943, gz,0.005328985
41:19.0,1.42111E+12,GGG,gx,0.002131594, gy,-0.013856427, gz,0.014921425
41:19.0,1.42111E+12,GGG,gx,-0.020251475, gy,-0.02238307, gz,-0.008526909
41:19.0,1.42111E+12,GGG,gx,-0.008526909, gy,-0.033041574, gz,-0.015988022
41:19.0,1.42111E+12,GGG,gx,-0.004263721, gy,-0.03090998, gz,-0.005329518
41:19.1,1.42111E+12,GGG,gx,-0.005329518, gy,-0.027712587, gz,-0.009593239
41:19.1,1.42111E+12,GGG,gx,-0.024514664, gy,-0.037305295, gz,-0.03837109
41:19.1,1.42111E+12,GGG,gx,-0.023448868, gy,-0.039436888, gz,-0.024514664
41:19.1,1.42111E+12,GGG,gx,0.018119348, gy,0.005328985, gz,-0.003197924
41:19.1,1.42111E+12,GGG,gx,0.037304495, gy,0.031975243, gz,0.006394783
