time,time_milisec,ax,ay,az,resultant
55:15.7,1.42136E+12,-1.0819501,3.2540832,9.417068,10.02201792
55:15.7,1.42136E+12,-1.1226654,3.1436129,9.398057,9.973272033
55:15.7,1.42136E+12,-1.1216176,3.1515462,9.421408,9.997659636
55:15.8,1.42136E+12,-1.1464659,3.146457,9.364826,9.945579004
55:15.8,1.42136E+12,-1.1708652,3.1145732,9.398655,9.970266162
55:15.8,1.42136E+12,-1.225801,3.1498997,9.240584,9.839352056
55:15.8,1.42136E+12,-1.3156142,3.1951058,9.362281,9.9795715
55:15.8,1.42136E+12,-1.4507831,3.389252,9.51167,10.20116008
55:15.8,1.42136E+12,-1.5935861,3.50077,9.35779,10.11746712
55:15.9,1.42136E+12,-1.631607,3.3673975,9.26184,9.989153493
55:15.9,1.42136E+12,-1.7098943,3.3870068,9.488468,10.21893236
55:15.9,1.42136E+12,-1.7643809,3.4938843,9.41557,10.19672623
55:15.9,1.42136E+12,-1.7082477,3.549868,9.483829,10.26950269
55:15.9,1.42136E+12,-1.7625847,3.591781,9.269624,10.09621338
55:16.0,1.42136E+12,-1.7371376,3.5666332,9.273516,10.08645718
55:16.0,1.42136E+12,-1.6908838,3.497926,8.394693,9.250159182
55:16.0,1.42136E+12,-1.8896704,3.7773948,9.889035,10.75325899
55:16.0,1.42136E+12,-1.6988173,3.5323544,9.659413,10.42438331
55:16.0,1.42136E+12,-1.4648538,3.372337,9.174122,9.88346943
55:16.1,1.42136E+12,-1.4058765,3.4608033,8.97324,9.719705979
55:16.1,1.42136E+12,-1.5373032,3.3778756,9.089548,9.818005273
55:16.1,1.42136E+12,-1.3915063,3.186873,9.231453,9.864693294
55:16.1,1.42136E+12,-1.4480886,3.3153057,9.369316,10.04352004
55:16.1,1.42136E+12,-1.4266832,3.2660582,9.528585,10.17332262
55:16.2,1.42136E+12,-1.3314812,3.206033,9.531878,10.1443673
55:16.2,1.42136E+12,-1.3100756,3.1364279,9.49221,10.08243665
55:16.2,1.42136E+12,-1.2813355,3.153642,9.372759,9.9717546
55:16.2,1.42136E+12,-1.4509327,3.2602203,9.400601,10.05512512
55:16.2,1.42136E+12,-1.3766872,3.2624657,9.330847,9.980163116
55:16.3,1.42136E+12,-1.3738431,3.2355218,9.232202,9.878744857
55:16.3,1.42136E+12,-1.4723382,3.3751812,9.07937,9.797682762
55:16.3,1.42136E+12,-1.5124549,3.4356556,9.144184,9.884702841
55:16.3,1.42136E+12,-1.4054275,3.2986903,9.304502,9.971476401
55:16.3,1.42136E+12,-1.355581,3.335813,9.3486595,10.01811772
