46:19.7,1.42111E+12,GGG,gx,-0.041568484, gy,-0.0852683, gz,-0.10338764
46:19.7,1.42111E+12,GGG,gx,-0.062885754, gy,-0.099124454, gz,-0.122573055
46:19.8,1.42111E+12,GGG,gx,0, gy,0.015987223, gz,-0.08846568
46:19.8,1.42111E+12,GGG,gx,0.06608235, gy,0.082070366, gz,-0.04476614
46:19.8,1.42111E+12,GGG,gx,0.026645726, gy,0.026645726, gz,-0.04263428
46:19.8,1.42111E+12,GGG,gx,-0.036239497, gy,-0.05649044, gz,-0.07780718
46:19.8,1.42111E+12,GGG,gx,-0.051160924, gy,-0.067148946, gz,-0.09059781
46:19.9,1.42111E+12,GGG,gx,-0.020251475, gy,-0.024514664, gz,-0.053292517
46:19.9,1.42111E+12,GGG,gx,0.008526376, gy,0.027712055, gz,-0.02238307
46:19.9,1.42111E+12,GGG,gx,-0.014922224, gy,0.018119348, gz,-0.01811988
46:19.9,1.42111E+12,GGG,gx,-0.040502686, gy,0.002131594, gz,-0.013856427
46:19.9,1.42111E+12,GGG,gx,-0.00106633, gy,0.03304104, gz,0.006394783
46:20.0,1.42111E+12,GGG,gx,0.05542411, gy,0.07887244, gz,0.010658237
46:20.0,1.42111E+12,GGG,gx,0.010658237, gy,0.03943609, gz,0.003197391
46:20.0,1.42111E+12,GGG,gx,-0.069280535, gy,-0.05222672, gz,-0.00106633
46:20.0,1.42111E+12,GGG,gx,-0.036239497, gy,-0.03837109, gz,0.002131594
46:20.0,1.42111E+12,GGG,gx,0.047962997, gy,0.024514131, gz,0.022382537
46:20.1,1.42111E+12,GGG,gx,0.06821394, gy,0.038370293, gz,0.02131674
46:20.1,1.42111E+12,GGG,gx,0.003197391, gy,-0.00106633, gz,0.007460579
46:20.1,1.42111E+12,GGG,gx,-0.074609786, gy,-0.062885754, gz,-0.009593239
46:20.1,1.42111E+12,GGG,gx,-0.092729405, gy,-0.087399885, gz,-0.017053818
46:20.1,1.42111E+12,GGG,gx,0.19824784, gy,0.26326466, gz,-0.049029328
46:20.2,1.42111E+12,GGG,gx,0.10978243, gy,0.16733813, gz,0.07780665
